开课状态,课程名称,学分,考核方式,课程性质,任课教师,选课课号,起止周,开课学院,<td>上课时间</td>,<td>上课地点</td>,<td>合班信息</td>
已开,高等数学C2,5,学校组织,通识必修,王国卯/宫改云,(2019-2020-2)-A0714222-41783-1,1月16日,理学院,"<td title=""周一第6.7节{第1-16周};周一第8节{第1-16周};周三第1.2节{第1-16周}"">周一第6.7节{第1-16周};周一第8...</td>","<td title=""第6教研楼北404;第6教研楼北404;第6教研楼南402"">第6教研楼北404;第6教研楼北404;...</td>","<td title=""19010611.19010612.19010613.19010614.19010615.19010616.19010617.19037311.19037312.19037313.19194811.19198711.19200311.19200312.19208811.19208812.19208813.19222511.19222512"">19010611.19010612.19...</td>"
已开,大学物理1,3,学校组织,通识必修,李国龙,(2019-2020-2)-A0715011-42200-2,1月16日,理学院,"<td title=""周一第6.7节{第1-16周};周一第8节{第1-16周}"">周一第6.7节{第1-16周};周一第8...</td>",<td>第6教研楼北416;第6教研楼北416</td>,<td>19080311.19080312</td>
已开,应用光学,3,学院组织,学科必修,应皓,(2019-2020-2)-A0716380-42030-1,1月16日,理学院,<td>周四第10.11.12节{第1-16周}</td>,<td>第12教研楼210</td>,<td>18070111.18070112</td>
已开,大学英语精读2B,2,学校组织,通识必修,蔡立予,(2019-2020-2)-A1101142-40745-2,1月16日,外国语学院,<td>周四第3.4节{第1-16周}</td>,<td>第7教研楼南505</td>,"<td title=""19151211.19151212.19151213.19151214.19151215.19151216.19151217.19151218.19200311.19200312.19208811.19208812.19208813.19270301.19270302.19272401.19272402.19273601.19273602"">19151211.19151212.19...</td>"
已开,大学英语精读2C,2,学校组织,通识必修,曹佳,(2019-2020-2)-A1101143-40135-1,1月16日,外国语学院,<td>周三第3.4节{第1-16周}</td>,<td>第6教研楼中109</td>,"<td title=""19010611.19010612.19010613.19010614.19010615.19010616.19010617.19123811.19124011.19124012.19124111.19220211.19221911.19222511.19222512.19280711.19280712.19280811"">19010611.19010612.19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,何亦可,(2019-2020-2)-A1101192-42005-4,9月16日,外国语学院,<td>周三第3.4节{第9-16周}</td>,<td>第3教研楼212</td>,"<td title=""19030411.19030412.19030413.19030414.19030415.19037311.19037312.19037313.19080311.19080312.19080313.19080314.19080315.19080316.19080317.19080318"">19030411.19030412.19...</td>"
已开,英语口语2,2,考查,学科必修,Farris Hodo,(2019-2020-2)-A1102542-lw103-2,1月16日,外国语学院,<td>周一第3.4节{第1-16周}</td>,<td>第6教研楼中305</td>,<td>19113712</td>
已开,跨国公司经营与管理,2,考查,专业必修,任重,(2019-2020-2)-A2201260-40721-1,1月16日,经济学院,<td>周五第1.2节{第1-16周}</td>,<td>第7教研楼北408</td>,<td>18150811</td>
已开,国际贸易实务,3,考查,专业必修,李淑贞,(2019-2020-2)-A220511C-41222-1,1月16日,经济学院,<td>周三第3.4.5节{第1-16周}</td>,<td>第7教研楼中2022</td>,<td>18171101</td>
已开,大学生职业发展与就业指导2,0.5,考查,通识必修,詹燕,(2019-2020-2)-A8400012-40380-2,3月12日,党委学生工作部、人民武装部—招生就业处（创业学院）,<td>周三第6.7节{第3-11周|单周}</td>,<td>第6教研楼北106</td>,"<td title=""18083413.18083415.18083416"">18083413.18083415.18...</td>"
已开,大学生职业发展与就业指导4,0.5,考查,通识必修,卞广旭/马化龙,(2019-2020-2)-A8400014-41451-1,3月12日,党委学生工作部、人民武装部—招生就业处（创业学院）,<td>周三第6.7节{第4-12周|双周}</td>,<td>第7教研楼北306</td>,"<td title=""17270211.17273611.17273612.17273614"">17270211.17273611.17...</td>"
已开,网络编程,3,考查,专业选修,吴永胜,(2019-2020-2)-B0500170-41588-1,1月16日,计算机学院（软件学院）,<td>周四第3.4.5节{第1-16周}</td>,<td>第3教研楼211</td>,"<td title=""17052311.17052312.17052313.17052314"">17052311.17052312.17...</td>"
已开,专业英语,2,学院组织,专业选修,应南娇,(2019-2020-2)-B190080s-40907-1,1月16日,自动化学院（人工智能学院）,<td>周二第6.7节{第1-16周}</td>,<td>第6教研楼中321</td>,<td>17198711</td>
已开,信号与系统,3,学院组织,专业选修,乔通,(2019-2020-2)-B270626s-41887-1,1月16日,网络空间安全学院（浙江保密学院）,"<td title=""周五第6.7节{第1-16周};周五第8节{第1-16周}"">周五第6.7节{第1-16周};周五第8...</td>",<td>第6教研楼北218;第6教研楼北218</td>,"<td title=""17272411.17272412.17272413"">17272411.17272412.17...</td>"
已开,工程伦理学,1,考查,专业选修,仇兆炀,(2019-2020-2)-C0803410-42235-1,1月8日,通信工程学院,<td>周二第10.11节{第1-8周}</td>,<td>第3教研楼315</td>,<td>17083511</td>
已开,通信电路与系统实验,0.5,考查,实践必修,陈瑾,(2019-2020-2)-S0400950-05022-11,5月16日,电子信息学院（微电子学院）,<td>周一第3.4.5节{第5-15周|单周}</td>,<td>第2教研楼中233（通信电路实验室）</td>,<td>18041811.18042211</td>
已开,创新性实验,1,考查,实践必修,刘公致,(2019-2020-2)-S0403620-22003-4,5月15日,电子信息学院（微电子学院）,<td>周一第10.11.12节{第5-15周}</td>,<td>第2教研楼中203</td>,"<td title=""17041811.17041812.17041813"">17041811.17041812.17...</td>"
