开课状态,课程名称,学分,考核方式,课程性质,任课教师,选课课号,起止周,开课学院,<td>上课时间</td>,<td>上课地点</td>,<td>合班信息</td>
已开,世界经济概论,2,考查,学科必修,任重,(2019-2020-2)-A220219G-40721-1,1月16日,经济学院,<td>周五第3 4节{第1-16周}</td>,<td>第7教研楼北408</td>,<td>19170401 19174001</td>
已开,计量经济学,3,学校组织,学科必修,王震蕾,(2019-2020-2)-A2204490-41646-2,1月16日,经济学院,"<td title=""周二第6 7节{第1-16周};周二第8节{第1-16周}"">周二第6 7节{第1-16周};周二第8...</td>",<td>第6教研楼北212;第6教研楼北212</td>,"<td title=""18151011 18184211 18184511"">18151011 18184211 18...</td>"
已开,思想道德修养与法律基础,3,学院组织,通识必修,王永进,(2019-2020-2)-A2301160-40760-3,1月16日,马克思主义学院,<td>周一第1 2节{第1-16周}</td>,<td>第3教研楼401</td>,<td>19062812 19062813</td>
已开,马克思主义基本原理,3,学院组织,通识必修,王晨,(2019-2020-2)-A2301180-42204-4,1月16日,马克思主义学院,<td>周二第6 7节{第1-16周}</td>,<td>第6教研楼北114</td>,<td>17222512</td>
已开,形势与政策2,0.25,考查,通识必修,郭红梅/程知群/何志伟/王兴杰/钱波,(2019-2020-2)-A6500042-05055-1,5月12日,党委学生工作部、人民武装部—学生处,<td>周三第8 9节{第6-12周|双周}</td>,<td>第6教研楼中129</td>,"<td title=""19040318 19040319 19040320 19040321 19040322 19040323"">19040318 19040319 19...</td>"
已开,组织行为学,2,考查,专业选修,冯军政,(2019-2020-2)-B030207G-41595-1,1月16日,管理学院,<td>周二第6 7节{第1-16周}</td>,<td>第6教研楼北406</td>,<td>18179801</td>
已开,光电显示技术,2,学院组织,专业选修,苏伟涛,(2019-2020-2)-B0700590-40695-1,1月16日,理学院,<td>周一第1 2节{第1-16周}</td>,<td>第6教研楼北220</td>,<td>17070111</td>
已开,英语综合技能1,2,学院组织,专业选修,赵媛媛,(2019-2020-2)-B1102951-41721-1,1月11日,外国语学院,<td>周二第3 4 5节{第1-11周}</td>,<td>第3教研楼312</td>,<td>18113713</td>
已开,创新实践1,1,考查,实践必修,陈龙,(2019-2020-2)-S0418051-40216-3,5月15日,电子信息学院（微电子学院）,<td>周三第10 11 12节{第5-15周}</td>,<td>第2教研楼中203</td>,<td>19184112</td>
已开,工程制图,2,学院组织,通识必修,赵慧俊,(2019-2020-2)-A0103370-41841-1,1月16日,机械工程学院,<td>周四第6 7节{第1-16周}</td>,<td>第6教研楼北316</td>,<td>19080317</td>
已开,理论力学,3,学校组织,学科必修,毛洁/周传平,(2019-2020-2)-A0105980-40581-1,1月16日,机械工程学院,<td>周五第3 4 5节{第1-16周}</td>,<td>第6教研楼北106</td>,<td>19010613</td>
已开,项目管理,2,考查,通识必修,柳春锋,(2019-2020-2)-A0303090-41382-1,1月16日,管理学院,<td>周四第1 2节{第1-16周}</td>,<td>第3教研楼305</td>,"<td title=""17052315 17052316 17052713"">17052315 17052316 17...</td>"
已开,信号分析与处理Ⅱ,2.5,学校组织,学科必修,施枭铖,(2019-2020-2)-A0600672-42201-1,1月16日,自动化学院（人工智能学院）,<td>周五第3 4 5节{第1-16周}</td>,<td>第6教研楼北314</td>,<td>18062811</td>
已开,大学物理1,3,学院组织,通识必修,孙科伟,(2019-2020-2)-A070349G-40188-1,1月16日,理学院,"<td title=""周二第6 7节{第1-16周};周二第8节{第1-16周}"">周二第6 7节{第1-16周};周二第8...</td>",<td>第6教研楼北214;第6教研楼北214</td>,<td>19170801 19170901</td>
已开,大学物理1,3,学校组织,通识必修,刘彦,(2019-2020-2)-A0715011-40221-1,1月16日,理学院,"<td title=""周一第6 7节{第1-16周};周一第8节{第1-16周}"">周一第6 7节{第1-16周};周一第8...</td>",<td>第6教研楼中127;第6教研楼中127</td>,<td>19080317 19080318</td>
已开,大学英语精读2B,2,学校组织,通识必修,王韵秋,(2019-2020-2)-A1101142-41856-3,1月16日,外国语学院,<td>周四第1 2节{第1-16周}</td>,<td>第7教研楼南507</td>,"<td title=""19060111 19060112 19060113 19062811 19062812 19062813 19062814 19062815 19063111 19063112 19194811 19196111 19196112 19198711"">19060111 19060112 19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,韩国春,(2019-2020-2)-A1101192-40877-10,9月16日,外国语学院,<td>周五第1 2节{第9-16周}</td>,<td>第3教研楼222</td>,"<td title=""19010611 19010612 19010613 19010614 19010615 19010616 19010617 19123811 19124011 19124012 19124111 19220211 19221911 19222511 19222512 19280711 19280712 19280811"">19010611 19010612 19...</td>"
已开,二外（德语）1,4,学校组织,通识必修,马绎,(2019-2020-2)-A1102851-42219-2,1月16日,外国语学院,"<td title=""周一第3 4节{第1-16周};周四第3 4节{第1-16周}"">周一第3 4节{第1-16周};周四第3...</td>",<td>第3教研楼220;第3教研楼220</td>,"<td title=""18113711 18113712 18113713 18113714"">18113711 18113712 18...</td>"
已开,网络图形图像处理1,3,考查,专业必修,付茜茜,(2019-2020-2)-A1206010-41975-1,1月16日,人文艺术与数字媒体学院、法学院,"<td title=""周一第6 7节{第1-16周};周一第8节{第1-16周}"">周一第6 7节{第1-16周};周一第8...</td>",<td>第9教研楼107;第9教研楼107</td>,<td>19124111</td>
已开,环境工程设计与运行,2,学院组织,专业必修,马青兰/刘洁,(2019-2020-2)-A2005510-01060-1,1月16日,材料与环境工程学院,<td>周三第1 2节{第1-16周}</td>,<td>第6教研楼中429</td>,<td>17200312</td>
已开,投资学原理1,3,学校组织,学科必修,田穗,(2019-2020-2)-A2208681-03065-1,1月16日,经济学院,<td>周三第10 11 12节{第1-16周}</td>,<td>第7教研楼南115</td>,<td>18151011</td>
已开,思想道德修养与法律基础,3,学院组织,通识必修,王胡英,(2019-2020-2)-A2301160-38029-1,1月16日,马克思主义学院,<td>周二第1 2节{第1-16周}</td>,<td>第7教研楼北218</td>,<td>19222511 19222512</td>
已开,思想道德修养与法律基础,3,学院组织,通识必修,徐芳,(2019-2020-2)-A2301160-40499-3,1月16日,马克思主义学院,<td>周二第1 2节{第1-16周}</td>,<td>第6教研楼北408</td>,<td>19040321 19040322</td>
已开,毛泽东思想和中国特色社会主义理论体系概论2,2,学院组织,通识必修,杨乐,(2019-2020-2)-A2301172-42025-4,1月16日,马克思主义学院,<td>周一第1 2节{第1-16周}</td>,<td>第7教研楼北406</td>,"<td title=""18140613 18140614 18140911"">18140613 18140614 18...</td>"
已开,大学生职业发展与就业指导2,0.5,考查,通识必修,李风啸,(2019-2020-2)-A8400012-42208-1,3月12日,党委学生工作部、人民武装部—招生就业处（创业学院）,<td>周三第8 9节{第3-11周|单周}</td>,<td>第6教研楼北302</td>,"<td title=""18031211 18031311 18031313 18031512"">18031211 18031311 18...</td>"
已开,计算机控制系统,2.5,学院组织,专业选修,陈雪亭,(2019-2020-2)-B0602990-02017-1,1月16日,自动化学院（人工智能学院）,<td>周四第3 4 5节{第1-16周}</td>,<td>第7教研楼北316</td>,<td>17062816 17062911</td>
已开,证券投资分析,2,考查,专业选修,丁胜,(2019-2020-2)-B2204240-41212-1,1月16日,经济学院,<td>周五第3 4节{第1-16周}</td>,<td>第7教研楼北308</td>,<td>17151111</td>
已开,计算机取证,2,学院组织,专业选修,王小军,(2019-2020-2)-B2701350-07023-1,1月16日,网络空间安全学院（浙江保密学院）,<td>周一第1 2节{第1-16周}</td>,<td>第7教研楼北120</td>,"<td title=""17270211 17273611 17273612"">17270211 17273611 17...</td>"
已开,大学计算机基础,1,考查,通识选修,李玉,(2019-2020-2)-C0501290-42156-1,1月16日,计算机学院（软件学院）,<td>周二第6 7节{第1-15周|单周}</td>,<td>第7教研楼北308</td>,<td>19148315 19148316</td>
已开,工程伦理学,1,考查,专业选修,欧军,(2019-2020-2)-C0803410-41762-1,1月8日,通信工程学院,<td>周四第8 9节{第1-8周}</td>,<td>第7教研楼中2022</td>,<td>17083415</td>
已开,三维动画设计,3,考查,专业选修,段宇杰,(2019-2020-2)-C1507180-41543-1,1月8日,人文艺术与数字媒体学院、法学院,"<td title=""周三第3 4 5节{第1-8周};周五第6 7节{第1-8周};周五第8节{第1-8周}"">周三第3 4 5节{第1-8周};周五第...</td>","<td title=""第12教研楼401;第12教研楼401;第12教研楼401"">第12教研楼401;第12教研楼401;...</td>",<td>19221811</td>
已开,电路与电子线路实验1,0.5,考查,实践必修,吕伟锋,(2019-2020-2)-S0400691-40128-12,5月16日,电子信息学院（微电子学院）,<td>周四第3 4 5节{第6-16周|双周}</td>,"<td title=""第2教研楼中209（电路分析.信号系统实验室）"">第2教研楼中209（电路分析.信号系统实...</td>",<td>19040322</td>
已开,电路分析实验,1,考查,实践必修,吕伟锋,(2019-2020-2)-S0403050-40128-10,6月16日,电子信息学院（微电子学院）,<td>周二第3 4 5节{第6-16周}</td>,"<td title=""第2教研楼中229（电路分析.信号系统实验室）"">第2教研楼中229（电路分析.信号系统实...</td>",<td>19080315</td>
已开,高级语言程序设计,1,考查,实践选修,任坤,(2019-2020-2)-S0403530-41144-2,5月15日,电子信息学院（微电子学院）,"<td title=""周二第6 7节{第5-15周};周二第8节{第5-15周}"">周二第6 7节{第5-15周};周二第8...</td>","<td title=""第2教研楼中237（单片机实验室）;第2教研楼中237（单片机实验室）"">第2教研楼中237（单片机实验室）;第2...</td>","<td title=""17041816 17041817 17041818 17041819 17041820"">17041816 17041817 17...</td>"
已开,创新实践2,2,考查,实践必修,余宙,(2019-2020-2)-S0500782-41882-1,1月16日,计算机学院（软件学院）,<td>周三第1 2节{第1-16周}</td>,<td>&nbsp;</td>,"<td title=""18052311 18052312 18052313 18052314 18052315 18052316 18052317 18052318 18052319 18052320 18052321 18052711 18052712 18059611"">18052311 18052312 18...</td>"
已开,光电技术实验1,1,考查,实践必修,黄春云,(2019-2020-2)-S0716281-04186-1,7月14日,理学院,"<td title=""周四第6 7节{第7-14周};周四第8 9节{第7-14周}"">周四第6 7节{第7-14周};周四第8...</td>","<td title=""第6教研楼南302B;第6教研楼南302B"">第6教研楼南302B;第6教研楼南302...</td>",<td>19070511</td>
已开,数据结构课程实践,1,考查,实践必修,邸晓飞/陈阳,(2019-2020-2)-S0802560-41971-1,5月15日,通信工程学院,<td>周二第3 4 5节{第5-15周}</td>,<td>第1教研楼108</td>,<td>18083412</td>
已开,硬件综合项目设计实践,3,考查,实践选修,骆懿,(2019-2020-2)-S0802810-07029-4,1月16日,通信工程学院,"<td title=""周一第6 7节{第1-16周};周一第8节{第1-16周}"">周一第6 7节{第1-16周};周一第8...</td>",<td>第1教研楼338;第1教研楼338</td>,<td>17083414</td>
已开,信号与电路系统实验,1,考查,实践必修,盛庆华,(2019-2020-2)-S1804120-40068-1,5月15日,电子信息学院（微电子学院）,<td>周二第10 11 12节{第5-15周}</td>,"<td title=""第2教研楼中213（电路分析.信号系统实验室）"">第2教研楼中213（电路分析.信号系统实...</td>",<td>19184111</td>
已开,无机非金属材料科学基础实验,1,考查,实践必修,张春晓/朱怡雯,(2019-2020-2)-S2002840-41352-1,9月16日,材料与环境工程学院,"<td title=""周二第1 2节{第9-16周};周二第3 4节{第9-16周}"">周二第1 2节{第9-16周};周二第3...</td>",<td>第3教研楼529;第3教研楼529</td>,<td>18208812</td>
已开,计算机基础（2）,3,学校组织,必修,徐恩友,(2019-2020-2)-Y0500012-06051-1,1月16日,计算机学院（软件学院）,<td>周一第3 4 5节{第1-16周}</td>,<td>第6教研楼中329</td>,<td>19079911</td>
已开,智能检测与控制技术,1,考查,专业选修,吴立群,(2019-2020-2)-YJ010050-01024-1,1月16日,机械工程学院,<td>周三第1 2节{第1-16周}</td>,<td>第6教研楼北308</td>,"<td title=""16010111 16010112 16010113 16010114 16010115 16010511 16010512 16019011 16019711 17010111 17010112 17010113 17010114 17010511 17019011 18010111 18010112 18010113 18010114 18010115"">16010111 16010112 16...</td>"
已开,智能感知系统集成技术,1,学院组织,专业选修,董林玺,(2019-2020-2)-YJ040030-40196-1,1月16日,电子信息学院（微电子学院）,<td>周四第8 9节{第1-16周}</td>,<td>第6教研楼北110</td>,"<td title=""17040211 17041811 17041812 17041813 17041814 17041815 17041816 17041817 17041818 17041819 17041820 17041821 17041822 17041823 17041824 17041825 17041911 17041912 17184111 17184112"">17040211 17041811 17...</td>"
已开,工程图学2,2,学校组织,学科必修,卢科青,(2019-2020-2)-A0100592-41427-1,1月16日,机械工程学院,<td>周四第1 2节{第1-16周}</td>,<td>第7教研楼南205</td>,<td>19010612</td>
已开,机械设计,3,学校组织,专业必修,纪华伟,(2019-2020-2)-A0100790-40599-1,1月16日,机械工程学院,"<td title=""周一第6 7节{第1-16周};周一第8节{第1-16周}"">周一第6 7节{第1-16周};周一第8...</td>",<td>第6教研楼北214;第6教研楼北214</td>,<td>18010113</td>
已开,工程力学基础,4,学校组织,学科必修,冯长水/王志强,(2019-2020-2)-A0118040-40986-1,1月16日,机械工程学院,"<td title=""周二第1 2节{第1-16周};周四第1 2节{第1-16周}"">周二第1 2节{第1-16周};周四第1...</td>",<td>第12教研楼210;第12教研楼210</td>,<td>19184113</td>
已开,JAVA语言程序设计,4,学校组织,通识必修,黄彬彬,(2019-2020-2)-A0501040-41676-2,9月16日,计算机学院（软件学院）,"<td title=""周一第3 4 5节{第9-16周};周二第6 7节{第9-16周};周四第3 4 5节{第9-16周};周四第10 11节{第9-16周}"">周一第3 4 5节{第9-16周};周二...</td>","<td title=""第12教研楼112;第12教研楼112;第12教研楼112;第12教研楼112"">第12教研楼112;第12教研楼112;...</td>",<td>19140112</td>
已开,数据库系统原理,3,学校组织,学科必修,张雪峰,(2019-2020-2)-A050799G-41524-1,1月16日,计算机学院（软件学院）,<td>周五第3 4 5节{第1-16周}</td>,<td>第6教研楼中309</td>,<td>17170901 17172501</td>
已开,通信原理,4.5,学院组织,学科必修,许晓荣,(2019-2020-2)-A080284G-41137-1,1月16日,通信工程学院,"<td title=""周一第10 11节{第1-16周};周二第6 7节{第1-16周};周二第8节{第1-16周}"">周一第10 11节{第1-16周};周二...</td>","<td title=""第6教研楼中429;第12教研楼114;第12教研楼114"">第6教研楼中429;第12教研楼114;...</td>",<td>17170801</td>
已开,信号与系统,3,学校组织,学科必修,卢从慧,(2019-2020-2)-A0806260-41819-1,1月16日,通信工程学院,"<td title=""周五第6 7节{第1-16周};周五第8节{第1-16周}"">周五第6 7节{第1-16周};周五第8...</td>",<td>第12教研楼316;第12教研楼316</td>,"<td title=""18083411 18083412 18083413 18083414 18083415 18083416 18083417 18083418"">18083411 18083412 18...</td>"
已开,大学英语精读2B,2,学校组织,通识必修,章晓君,(2019-2020-2)-A1101142-16055-2,1月16日,外国语学院,<td>周三第1 2节{第1-16周}</td>,<td>第6教研楼中107</td>,"<td title=""19050511 19050512 19050513 19050514 19050515 19050516 19050517 19050518 19050519 19050520 19050521 19050522 19140111 19140112 19148311 19148312 19148313 19148314 19148315"">19050511 19050512 19...</td>"
已开,大学英语精读2B,2,学校组织,通识必修,张培青,(2019-2020-2)-A1101142-41686-3,1月16日,外国语学院,<td>周一第3 4节{第1-16周}</td>,<td>第7教研楼南403</td>,"<td title=""19030411 19030412 19030413 19030414 19030415 19037311 19037312 19037313 19080311 19080312 19080313 19080314 19080315 19080316 19080317 19080318"">19030411 19030412 19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,何艳,(2019-2020-2)-A1101192-04059-5,1月8日,外国语学院,<td>周二第3 4节{第1-8周}</td>,<td>第3教研楼210</td>,"<td title=""19060111 19060112 19060113 19062811 19062812 19062813 19062814 19062815 19063111 19063112 19194811 19196111 19196112 19198711"">19060111 19060112 19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,何艳,(2019-2020-2)-A1101192-04059-7,1月8日,外国语学院,<td>周三第3 4节{第1-8周}</td>,<td>第3教研楼210</td>,"<td title=""19030411 19030412 19030413 19030414 19030415 19037311 19037312 19037313 19080311 19080312 19080313 19080314 19080315 19080316 19080317 19080318"">19030411 19030412 19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,贾连庆,(2019-2020-2)-A1101192-40748-9,1月8日,外国语学院,<td>周五第1 2节{第1-8周}</td>,<td>第7教研楼南311</td>,"<td title=""19010611 19010612 19010613 19010614 19010615 19010616 19010617 19123811 19124011 19124012 19124111 19220211 19221911 19222511 19222512 19280711 19280712 19280811"">19010611 19010612 19...</td>"
已开,工程力学,3,学院组织,学科必修,陈建军,(2019-2020-2)-A2003711-01064-1,1月16日,材料与环境工程学院,<td>周五第3 4 5节{第1-16周}</td>,<td>第7教研楼北508</td>,<td>18200311</td>
已开,国际商务函电,3,考查,专业必修,韩沈超,(2019-2020-2)-A220514G-42139-1,1月16日,经济学院,<td>周一第3 4 5节{第1-16周}</td>,<td>第12教研楼403</td>,<td>17170401</td>
已开,中国近现代史纲要,3,学院组织,通识必修,孙玉敏,(2019-2020-2)-A2301150-40430-1,1月16日,马克思主义学院,<td>周三第1 2节{第1-16周}</td>,<td>第7教研楼北116</td>,<td>19030411 19030412</td>
已开,公司理论,2,学院组织,专业选修,禹献云,(2019-2020-2)-B0301460-41538-1,1月16日,管理学院,<td>周三第3 4节{第1-16周}</td>,<td>第7教研楼北216</td>,<td>17031511</td>
已开,MATLAB及在电子信息课程中的应用,2,学院组织,专业选修,郑晓隆,(2019-2020-2)-B0405020-40985-1,1月16日,电子信息学院（微电子学院）,<td>周一第1 2节{第1-16周}</td>,<td>第3教研楼101</td>,"<td title=""17041823 17041824 17041825"">17041823 17041824 17...</td>"
已开,数据结构,2,考查,专业选修,徐翀,(2019-2020-2)-B0518890-06062-1,1月16日,计算机学院（软件学院）,<td>周四第8 9节{第1-16周}</td>,<td>第7教研楼南215</td>,<td>19184212</td>
已开,信息隐藏技术,2,学院组织,专业选修,王慧,(2019-2020-2)-B270501s-41764-1,1月16日,网络空间安全学院（浙江保密学院）,<td>周五第1 2节{第1-16周}</td>,<td>第3教研楼401</td>,"<td title=""17272411 17272412 17272413"">17272411 17272412 17...</td>"
已开,保密科技,2,学院组织,专业选修,高梦州,(2019-2020-2)-B2705300-42109-1,1月16日,网络空间安全学院（浙江保密学院）,<td>周二第8 9节{第1-16周}</td>,<td>第7教研楼北414</td>,"<td title=""17273611 17273612 17273613 17273614"">17273611 17273612 17...</td>"
已开,创新综合实践,2,考查,实践必修,秦飞巍,(2019-2020-2)-S0500790-41577-1,1月16日,计算机学院（软件学院）,<td>周四第8 9节{第1-16周}</td>,<td>&nbsp;</td>,"<td title=""17052311 17052312 17052313 17052314 17052315 17052316 17052317 17052318 17052711 17052712 17052713 17058911 17059611 17059612"">17052311 17052312 17...</td>"
已开,计算机组成原理课程设计（甲）,2,考查,实践必修,冯建文,(2019-2020-2)-S0504400-06030-1,1月16日,计算机学院（软件学院）,"<td title=""周二第6 7节{第1-16周};周二第8节{第1-16周}"">周二第6 7节{第1-16周};周二第8...</td>",<td>第6教研楼中307;第6教研楼中307</td>,<td>18052315</td>
已开,大学物理实验A1,1,学院组织,实践必修,待定1,(2019-2020-2)-S0718051-ls702-41,2月16日,理学院,"<td title=""周四第6 7节{第2-16周};周四第8节{第2-16周}"">周四第6 7节{第2-16周};周四第8...</td>",<td>大学物理实验中心J;大学物理实验中心J</td>,<td>19208812</td>
已开,大学物理实验A1,1,学院组织,实践必修,待定1,(2019-2020-2)-S0718051-ls702-45,2月16日,理学院,"<td title=""周五第6 7节{第2-16周};周五第8节{第2-16周}"">周五第6 7节{第2-16周};周五第8...</td>",<td>大学物理实验中心;大学物理实验中心</td>,<td>19080317</td>
已开,时间序列分析课程设计,2,考查,实践选修,周慧,(2019-2020-2)-S2201390-41360-1,9月16日,经济学院,"<td title=""周二第1 2节{第9-16周};周三第3 4节{第9-16周}"">周二第1 2节{第9-16周};周三第3...</td>",<td>第6教研楼北214;第3教研楼415</td>,<td>17150711</td>
已开,热工基础(乙),2,学校组织,学科必修,张志霄,(2019-2020-2)-A0106730-40140-1,1月16日,机械工程学院,<td>周四第3 4节{第1-16周}</td>,<td>第6教研楼北206</td>,<td>18010511</td>
已开,现代经济管理基础,2,考查,通识必修,曾家焱,(2019-2020-2)-A0304560-41527-1,1月16日,管理学院,<td>周一第1 2节{第1-16周}</td>,<td>第6教研楼北410</td>,<td>19184112 19184113</td>
已开,电子技术基础,3,学院组织,学科必修,秦华伟,(2019-2020-2)-A0400730-40300-1,1月16日,电子信息学院（微电子学院）,"<td title=""周一第6 7节{第1-16周};周一第8节{第1-16周}"">周一第6 7节{第1-16周};周一第8...</td>",<td>第6教研楼北318;第6教研楼北318</td>,<td>18010111 18010112</td>
已开,人工智能导论,3,学院组织,学科必修,高发荣/张启忠,(2019-2020-2)-A0600770-41099-1,1月16日,自动化学院（人工智能学院）,"<td title=""周五第6 7节{第1-16周};周五第8节{第1-16周}"">周五第6 7节{第1-16周};周五第8...</td>",<td>第7教研楼北310;第7教研楼北310</td>,<td>18063111</td>
已开,微机原理与接口技术,4,学院组织,专业必修,刘炳涛/周晓飞,(2019-2020-2)-A0601660-41865-1,1月16日,自动化学院（人工智能学院）,"<td title=""周二第6 7节{第1-16周};周四第6 7节{第1-16周}"">周二第6 7节{第1-16周};周四第6...</td>",<td>第6教研楼北112;第6教研楼北320</td>,<td>18062815</td>
已开,离散数学,2,学院组织,专业必修,熊瑜,(2019-2020-2)-A0713320-40661-1,1月16日,理学院,<td>周一第1 2节{第1-16周}</td>,<td>第6教研楼中327</td>,<td>18073111 18073112</td>
已开,概率论与数理统计,3,学校组织,通识必修,张静远,(2019-2020-2)-A0714040-04161-1,1月16日,理学院,"<td title=""周五第6 7节{第1-16周};周五第8节{第1-16周}"">周五第6 7节{第1-16周};周五第8...</td>",<td>第6教研楼北404;第6教研楼北404</td>,<td>18052321 18059611</td>
已开,电路分析,4,学校组织,学科必修,简志华,(2019-2020-2)-A0800520-40873-1,1月16日,通信工程学院,"<td title=""周二第6 7节{第1-16周};周五第3 4节{第1-16周}"">周二第6 7节{第1-16周};周五第3...</td>",<td>第7教研楼北110;第7教研楼北110</td>,<td>19080315</td>
已开,电路分析,4,学校组织,学科必修,乔磊,(2019-2020-2)-A0800520-42173-1,1月16日,通信工程学院,"<td title=""周二第6 7节{第1-16周};周五第3 4节{第1-16周}"">周二第6 7节{第1-16周};周五第3...</td>",<td>第6教研楼北222;第6教研楼中307</td>,<td>19080316</td>
已开,大学英语精读2B,2,学校组织,通识必修,张培青,(2019-2020-2)-A1101142-41686-4,1月16日,外国语学院,<td>周四第3 4节{第1-16周}</td>,<td>第7教研楼南403</td>,"<td title=""19151211 19151212 19151213 19151214 19151215 19151216 19151217 19151218 19200311 19200312 19208811 19208812 19208813 19270301 19270302 19272401 19272402 19273601 19273602"">19151211 19151212 19...</td>"
已开,大学英语精读2B,2,学校组织,通识必修,俞曦霞,(2019-2020-2)-A1101142-41802-4,1月16日,外国语学院,<td>周三第3 4节{第1-16周}</td>,<td>第7教研楼南119</td>,"<td title=""19010611 19010612 19010613 19010614 19010615 19010616 19010617 19123811 19124011 19124012 19124111 19220211 19221911 19222511 19222512 19280711 19280712 19280811"">19010611 19010612 19...</td>"
已开,汉语2(中级),6,学院组织,通识必修,李学颖,(2019-2020-2)-A110171G-40745-1,1月16日,外国语学院,"<td title=""周二第6 7节{第1-16周};周二第8节{第1-16周};周五第3 4 5节{第1-16周}"">周二第6 7节{第1-16周};周二第8...</td>","<td title=""第7教研楼北504;第7教研楼北504;第6教研楼北204"">第7教研楼北504;第7教研楼北504;...</td>",<td>19171101</td>
已开,英语口语2,2,考查,学科必修,Farris Hodo,(2019-2020-2)-A1102542-lw103-1,1月16日,外国语学院,<td>周二第1 2节{第1-16周}</td>,<td>第6教研楼中305</td>,<td>19113711 19174801</td>
已开,系列化包装设计,4,考查,专业必修,孙茜,(2019-2020-2)-A1505100-40325-1,9月16日,人文艺术与数字媒体学院、法学院,"<td title=""周二第6 7节{第9-16周};周二第8 9节{第9-16周};周五第1 2节{第9-16周};周五第3 4节{第9-16周}"">周二第6 7节{第9-16周};周二第8...</td>","<td title=""第12教研楼510;第12教研楼510;第12教研楼508;第12教研楼508"">第12教研楼510;第12教研楼510;...</td>",<td>19220111</td>
已开,社会调查方法,2,学院组织,学科必修,刘干,(2019-2020-2)-A2204090-03046-1,1月16日,经济学院,<td>周五第6 7节{第1-16周}</td>,<td>第6教研楼中307</td>,<td>18150711</td>
