已开,工程图学2,2,学校组织,学科必修,卢科青,(2019-2020-2)-A0100592-41427-1,1~16,周四第1 2节{第1-16周},第7教研楼南205,机械工程学院,19010612
已开,机械设计,3,学校组织,专业必修,纪华伟,(2019-2020-2)-A0100790-40599-1,1~16,"""周一第6 7节{第1-16周};周一第8节{第1-16周}""",第6教研楼北214;第6教研楼北214,机械工程学院,18010113
已开,工程力学基础,4,学校组织,学科必修,冯长水/王志强,(2019-2020-2)-A0118040-40986-1,1~16,"""周二第1 2节{第1-16周};周四第1 2节{第1-16周}""",第12教研楼210;第12教研楼210,机械工程学院,19184113
已开,JAVA语言程序设计,4,学校组织,通识必修,黄彬彬,(2019-2020-2)-A0501040-41676-2,9~16,"""周一第3 4 5节{第9-16周};周二第6 7节{第9-16周};周四第3 4 5节{第9-16周};周四第10 11节{第9-16周}""","""第12教研楼112;第12教研楼112;第12教研楼112;第12教研楼112""",计算机学院（软件学院）,19140112
已开,数据库系统原理,3,学校组织,学科必修,张雪峰,(2019-2020-2)-A050799G-41524-1,1~16,周五第3 4 5节{第1-16周},第6教研楼中309,计算机学院（软件学院）,17170901 17172501
已开,通信原理,4.5,学院组织,学科必修,许晓荣,(2019-2020-2)-A080284G-41137-1,1~16,"""周一第10 11节{第1-16周};周二第6 7节{第1-16周};周二第8节{第1-16周}""","""第6教研楼中429;第12教研楼114;第12教研楼114""",通信工程学院,17170801
已开,信号与系统,3,学校组织,学科必修,卢从慧,(2019-2020-2)-A0806260-41819-1,1~16,"""周五第6 7节{第1-16周};周五第8节{第1-16周}""",第12教研楼316;第12教研楼316,通信工程学院,"""18083411 18083412 18083413 18083414 18083415 18083416 18083417 18083418"""
已开,大学英语精读2B,2,学校组织,通识必修,章晓君,(2019-2020-2)-A1101142-16055-2,1~16,周三第1 2节{第1-16周},第6教研楼中107,外国语学院,"""19050511 19050512 19050513 19050514 19050515 19050516 19050517 19050518 19050519 19050520 19050521 19050522 19140111 19140112 19148311 19148312 19148313 19148314 19148315"""
已开,大学英语精读2B,2,学校组织,通识必修,张培青,(2019-2020-2)-A1101142-41686-3,1~16,周一第3 4节{第1-16周},第7教研楼南403,外国语学院,"""19030411 19030412 19030413 19030414 19030415 19037311 19037312 19037313 19080311 19080312 19080313 19080314 19080315 19080316 19080317 19080318"""
已开,大学英语听说2B,1,学校组织,通识必修,何艳,(2019-2020-2)-A1101192-04059-5,1~8,周二第3 4节{第1-8周},第3教研楼210,外国语学院,"""19060111 19060112 19060113 19062811 19062812 19062813 19062814 19062815 19063111 19063112 19194811 19196111 19196112 19198711"""
已开,大学英语听说2B,1,学校组织,通识必修,何艳,(2019-2020-2)-A1101192-04059-7,1~8,周三第3 4节{第1-8周},第3教研楼210,外国语学院,"""19030411 19030412 19030413 19030414 19030415 19037311 19037312 19037313 19080311 19080312 19080313 19080314 19080315 19080316 19080317 19080318"""
